                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.8441,                0.36363,                0.88851,                0.97719,                0.96679,                0.98744,                0.67148,                 1.2231,                0.41628,                 1.0422,               0.008317,               0.008317,               0.008317
                     37,                0.83868,                0.36289,                0.88736,                 0.9771,                0.96687,                0.98739,                0.67176,                 1.2241,                0.41619,                 1.0431,              0.0082675,              0.0082675,              0.0082675
                     38,                0.83232,                 0.3597,                0.88526,                0.97711,                 0.9669,                0.98742,                0.67115,                 1.2249,                  0.416,                 1.0437,               0.008218,               0.008218,               0.008218
                     39,                0.82968,                0.35765,                 0.8851,                0.97702,                0.96683,                0.98742,                0.67148,                 1.2257,                0.41589,                 1.0444,              0.0081685,              0.0081685,              0.0081685
                     40,                0.82753,                 0.3576,                0.88374,                0.97718,                 0.9668,                0.98739,                0.67127,                 1.2263,                0.41576,                  1.045,               0.008119,               0.008119,               0.008119
                     41,                0.82598,                0.35648,                 0.8836,                0.97707,                0.96677,                0.98738,                0.67086,                 1.2271,                0.41567,                 1.0458,              0.0080695,              0.0080695,              0.0080695
                     42,                0.82047,                0.35536,                0.88206,                0.97685,                0.96687,                0.98735,                0.67043,                  1.228,                0.41573,                 1.0464,                0.00802,                0.00802,                0.00802
                     43,                0.81475,                0.35295,                0.88109,                0.97696,                0.96682,                0.98731,                0.66988,                  1.229,                0.41572,                 1.0472,              0.0079705,              0.0079705,              0.0079705
                     44,                0.81237,                0.35183,                0.88069,                0.97673,                0.96686,                0.98723,                0.66966,                 1.2298,                0.41576,                 1.0479,               0.007921,               0.007921,               0.007921
                     45,                0.80645,                0.35025,                0.87935,                0.97669,                0.96679,                0.98715,                 0.6696,                 1.2304,                0.41555,                 1.0485,              0.0078715,              0.0078715,              0.0078715
