                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.5251,                 0.7964,                 0.8404,                0.78547,                0.63441,                0.67867,                0.29647,                 2.1485,                 1.2821,                0.91702,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.5212,                 0.7901,                0.83995,                0.77908,                0.63046,                0.67285,                0.29236,                 2.1546,                 1.3116,                0.91913,               0.008218,               0.008218,               0.008218
                     38,                  1.516,                0.79238,                0.83878,                0.78577,                0.63016,                0.66982,                0.28811,                 2.1783,                 1.3071,                0.91991,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.5024,                0.77894,                0.83803,                0.77177,                0.62939,                 0.6652,                0.28223,                 2.2093,                 1.3135,                0.92408,               0.008119,               0.008119,               0.008119
                     40,                 1.4973,                0.77867,                0.83691,                0.77494,                0.63515,                0.67208,                0.29013,                 2.1887,                 1.3117,                0.92079,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.4938,                 0.7687,                0.83428,                0.76472,                0.62583,                0.66471,                0.28979,                 2.1774,                 1.3173,                 0.9203,                0.00802,                0.00802,                0.00802
                     42,                 1.4911,                 0.7737,                0.83513,                0.77307,                0.62454,                 0.6669,                0.29266,                 2.1686,                 1.3183,                0.91897,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.4953,                0.76693,                  0.836,                0.77187,                0.62898,                0.66761,                0.29157,                 2.1787,                 1.3297,                0.92094,               0.007921,               0.007921,               0.007921
                     44,                 1.4686,                0.76183,                0.83223,                0.78393,                0.62577,                0.66856,                 0.2955,                 2.1702,                 1.3292,                0.92111,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.4586,                0.75153,                0.83169,                0.78712,                0.62824,                0.67039,                0.29477,                 2.1838,                 1.3308,                0.92153,               0.007822,               0.007822,               0.007822
                     46,                 1.4594,                 0.7527,                0.83331,                0.78249,                0.63219,                 0.6735,                0.29306,                 2.1866,                 1.3429,                0.92227,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.4605,                0.74735,                0.83311,                0.77921,                0.62873,                0.67048,                0.29041,                 2.1955,                 1.3458,                0.92258,               0.007723,               0.007723,               0.007723
                     48,                 1.4512,                0.74554,                0.83112,                 0.7695,                0.62355,                0.66491,                 0.2892,                  2.202,                 1.3692,                0.92217,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.4503,                0.74112,                0.83317,                  0.771,                0.62416,                0.66448,                0.28929,                 2.1983,                 1.3668,                0.92181,               0.007624,               0.007624,               0.007624
                     50,                 1.4278,                0.73048,                0.83034,                0.76944,                0.61911,                0.66281,                0.28884,                 2.1949,                 1.3736,                 0.9215,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.4299,                0.72761,                0.83163,                0.77403,                0.61979,                0.66344,                0.28879,                 2.1888,                 1.3806,                0.92048,               0.007525,               0.007525,               0.007525
                     52,                 1.4349,                0.73802,                0.83059,                0.77653,                0.61787,                0.66279,                0.28854,                 2.1881,                 1.3778,                 0.9214,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.4251,                0.72187,                0.82903,                0.77707,                 0.6159,                0.66128,                 0.2873,                 2.1926,                 1.3778,                0.92163,               0.007426,               0.007426,               0.007426
                     54,                 1.4115,                 0.7175,                 0.8284,                0.77963,                0.61744,                0.65875,                0.28716,                 2.1935,                 1.3796,                0.92248,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.4084,                0.71698,                0.82725,                0.77778,                0.62182,                 0.6589,                0.28778,                 2.1938,                 1.3805,                0.92271,               0.007327,               0.007327,               0.007327
                     56,                 1.4132,                0.71749,                0.82726,                0.78246,                0.61985,                0.66159,                0.28786,                 2.1907,                  1.384,                0.92317,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.4085,                0.71397,                 0.8279,                0.77874,                0.62553,                0.66232,                0.28915,                 2.1911,                 1.3852,                0.92331,               0.007228,               0.007228,               0.007228
                     58,                 1.3916,                0.70582,                0.82592,                0.77259,                0.62627,                0.66172,                0.28955,                 2.1917,                 1.3819,                0.92367,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.3862,                0.70439,                0.82411,                0.77216,                 0.6266,                0.66122,                0.28966,                 2.1978,                 1.3802,                0.92426,               0.007129,               0.007129,               0.007129
                     60,                 1.3869,                0.69901,                 0.8265,                0.77359,                0.62651,                0.66249,                0.28997,                 2.2002,                 1.3845,                0.92473,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.3684,                0.69602,                0.82187,                0.77346,                0.62451,                0.66137,                0.28964,                  2.202,                 1.3844,                0.92486,                0.00703,                0.00703,                0.00703
                     62,                 1.3657,                0.68943,                0.82432,                0.77023,                0.62404,                0.66056,                0.28999,                 2.2003,                 1.3845,                0.92479,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.3755,                0.69362,                0.82646,                0.77344,                0.62478,                0.66131,                0.29104,                 2.1989,                  1.381,                0.92482,               0.006931,               0.006931,               0.006931
                     64,                 1.3719,                0.69617,                0.82288,                0.77518,                0.62701,                0.66113,                0.29076,                 2.1968,                 1.3781,                0.92452,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.3587,                0.68299,                0.82272,                0.77422,                0.62556,                0.66037,                0.29101,                 2.1964,                 1.3785,                0.92457,               0.006832,               0.006832,               0.006832
                     66,                  1.359,                0.68507,                0.82125,                0.77481,                0.62454,                0.66064,                0.29065,                 2.1965,                 1.3789,                0.92456,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.3412,                0.67468,                 0.8205,                0.77595,                 0.6196,                 0.6597,                0.29058,                  2.195,                   1.38,                0.92441,               0.006733,               0.006733,               0.006733
                     68,                 1.3416,                0.67494,                0.82109,                0.77362,                0.62207,                0.66042,                0.29004,                 2.1942,                 1.3812,                 0.9245,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.3471,                0.67342,                0.82303,                0.77359,                0.62083,                0.66093,                0.29056,                 2.1943,                 1.3799,                0.92428,               0.006634,               0.006634,               0.006634
                     70,                 1.3406,                0.66767,                0.82255,                0.77369,                0.62355,                0.66258,                0.29084,                 2.1939,                 1.3812,                0.92445,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.3386,                0.66362,                0.82069,                0.77208,                0.62232,                0.66249,                0.29048,                 2.1937,                  1.381,                0.92457,               0.006535,               0.006535,               0.006535
                     72,                 1.3227,                0.65852,                0.82021,                0.77398,                0.62009,                0.66214,                0.29003,                  2.195,                 1.3844,                0.92454,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.3153,                0.65134,                 0.8196,                0.77216,                0.62077,                 0.6615,                 0.2899,                 2.1971,                 1.3881,                0.92489,               0.006436,               0.006436,               0.006436
                     74,                  1.319,                0.66189,                0.81822,                0.77179,                0.62027,                0.66007,                0.28959,                 2.1991,                 1.3881,                0.92493,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.3096,                0.64889,                0.81843,                0.77144,                0.62072,                0.65976,                0.28935,                 2.2008,                 1.3922,                 0.9253,               0.006337,               0.006337,               0.006337
                     76,                 1.3033,                0.64912,                 0.8188,                0.77198,                0.61935,                0.65892,                0.28965,                  2.202,                 1.3934,                0.92529,              0.0062875,              0.0062875,              0.0062875
                     77,                 1.3101,                0.64949,                0.81908,                0.77337,                0.61745,                0.65835,                0.28919,                 2.2028,                 1.3939,                0.92531,               0.006238,               0.006238,               0.006238
                     78,                 1.3004,                0.64341,                0.81821,                0.77662,                 0.6162,                0.65845,                 0.2893,                 2.2038,                 1.3953,                0.92558,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.2888,                  0.636,                0.81621,                 0.7761,                0.61664,                0.65858,                0.28973,                 2.2044,                 1.3964,                0.92571,               0.006139,               0.006139,               0.006139
                     80,                 1.2933,                0.64234,                0.81685,                0.77741,                0.61557,                0.65923,                0.29036,                 2.2042,                 1.3967,                0.92568,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.2822,                0.63301,                0.81556,                0.77821,                0.61466,                0.65992,                0.29046,                 2.2035,                 1.3975,                0.92586,                0.00604,                0.00604,                0.00604
                     82,                 1.2794,                 0.6324,                0.81685,                0.77878,                0.61466,                0.66058,                 0.2911,                 2.2032,                 1.3964,                0.92578,              0.0059905,              0.0059905,              0.0059905
                     83,                  1.273,                0.62958,                0.81675,                0.77856,                0.61417,                0.66124,                0.29061,                 2.2025,                 1.3943,                0.92573,               0.005941,               0.005941,               0.005941
                     84,                 1.2778,                0.62588,                0.81679,                0.77692,                0.61442,                0.66069,                0.29051,                 2.2032,                 1.3972,                0.92557,              0.0058915,              0.0058915,              0.0058915
                     85,                 1.2653,                0.62098,                 0.8157,                0.77502,                0.61368,                0.65957,                0.29013,                 2.2041,                 1.3984,                0.92564,               0.005842,               0.005842,               0.005842
